"","IP","age_read","destination","experimentName","grade","idnumber","lang","sex","time","time_in_a_week","userCode","userFileName","year"
"121","93.81.222.7",6,"agreement.csv","lopuhinpredicttest",7,"453","Русский","female",NA,"min30","ATW146",146,13
"122","93.81.222.7",6,"agreement.csv","lopuhinpredicttest",7,"455","Русский язык","female",NA,"min30","SHZ147",147,13
"123","81.20.107.194",5,"agreement.csv","lopuhinpredicttest",11,"457","Русский","female",NA,"min30","HBK149",149,17
"124","37.73.28.95",5,"agreement.csv","lopuhinpredicttest",10,"457","Укаїнська","female",NA,"min10","MVP151",151,151515
"125","37.204.243.4",5,"agreement.csv","lopuhinpredicttest",0,"460","русский","female",NA,"min30","IZA153",153,21
"126","109.252.73.205",6,"agreement.csv","lopuhinpredicttest",8,"","Родной язык русский","female",NA,"min90","TGF154",154,14
"127","109.252.35.44",4,"agreement.csv","lopuhinpredicttest",6,"не знаю","русский ","female",NA,"min60","DPK155",155,13
"128","109.252.35.44",4,"agreement.csv","lopuhinpredicttest",6,"не знаю","русский ","female",NA,"min60","OIC156",156,13
"129","81.5.121.191",3,"agreement.csv","lopuhinpredicttest",0,"461","русский","male",NA,"min60","GIA157",157,21
"130","2.95.124.232",4,"agreement.csv","lopuhinpredicttest",7,"466","Русский‚английский","female",NA,"min60","GTG158",158,12
"131","2.95.124.232",5,"agreement.csv","lopuhinpredicttest",7,"466","Русский‚английский","female",NA,"min60","LXM159",159,12
"132","79.134.68.76",6,"agreement.csv","lopuhinpredicttest",8,"","русский","female",NA,"min10","NNR160",160,14
"133","128.68.208.220",4,"agreement.csv","lopuhinpredicttest",6,"401","русский","male",NA,"min100500","IHW161",161,11
"134","185.8.126.59",5,"agreement.csv","lopuhinpredicttest",7,"","Русский","female",NA,"min60","WLS162",162,13
"135","176.59.54.221",5,"agreement.csv","lopuhinpredicttest",10,"475","Русский","male",NA,"min10","PME163",163,17
"136","89.178.226.68",5,"agreement.csv","lopuhinpredicttest",10,"475","Русский","male",NA,"min10","VAH164",164,17
"137","31.162.243.17",0,"agreement.csv","lopuhinpredicttest",972,"479","Живе беларусь","male",NA,"min100500","LRT165",165,972
"138","83.149.21.81",5,"agreement.csv","lopuhinpredicttest",7,"480","Русский ","female",NA,"min60","PJK168",168,13
"139","85.26.235.55",481,"agreement.csv","lopuhinpredicttest",13,"","13","female",NA,"min30","GOG169",169,13
"140","176.59.144.51",6,"agreement.csv","lopuhinpredicttest",6,"482","Русский ","female",NA,"min30","ABV171",171,12
"141","128.72.163.233",6,"agreement.csv","lopuhinpredicttest",7,"483","русский","female",NA,"min10","CPP173",173,13
"142","93.124.33.51",5,"agreement.csv","lopuhinpredicttest",6,"","Руский язык","female",NA,"min100500","NYG174",174,12
"143","93.124.33.51",6,"agreement.csv","lopuhinpredicttest",6,"","Русский язык","female",NA,"min100500","FXR175",175,15
"144","217.118.90.246",6,"agreement.csv","lopuhinpredicttest",6,"","Русский","female",NA,"min90","VYJ178",178,12
"145","217.118.90.130",7,"agreement.csv","lopuhinpredicttest",6,"487","Русский ","male",NA,"min30","MXP181",181,12
"146","93.124.105.47",6,"agreement.csv","lopuhinpredicttest",8,"Хз","Русский","male",NA,"min30","YDG182",182,12
"147","37.113.38.126",6,"agreement.csv","lopuhinpredicttest",7,"","Русский","female",NA,"min100500","POR184",184,12
"148","93.124.105.47",7,"agreement.csv","lopuhinpredicttest",7,"Хз","Русский","female",NA,"min30","FEZ185",185,12
"149","128.69.195.90",6,"agreement.csv","lopuhinpredicttest",7,"","Русский ","female",NA,"min10","LZG187",187,13
"150","217.118.90.189",6,"agreement.csv","lopuhinpredicttest",122226,"","Татарский","female",NA,"min10","LJW188",188,12111212
"151","217.118.90.130",6,"agreement.csv","lopuhinpredicttest",6,"490","Русский","male",NA,"min30","WNF189",189,12
"152","217.118.90.130",6,"agreement.csv","lopuhinpredicttest",6,"490","Русский","male",NA,"min30","ZFX190",190,12
"153","217.118.90.130",6,"agreement.csv","lopuhinpredicttest",6,"490","Русский","male",NA,"min30","MJC191",191,12
"154","2.92.197.180",5,"agreement.csv","lopuhinpredicttest",7,"14784","Русский","female",NA,"min90","HXW193",193,13
"155","2.92.197.180",4,"agreement.csv","lopuhinpredicttest",7,"14793","Русский","female",NA,"min90","ARY194",194,13
"156","62.133.162.42",4,"agreement.csv","lopuhinpredicttest",0,"D2004","русский","female",NA,"min100500","CDR198",198,21
"157","176.59.103.84",6,"agreement.csv","lopuhinpredicttest",7,"429","Русский","female",NA,"min30","HXB199",199,13
"158","91.214.143.3",6,"agreement.csv","lopuhinpredicttest",5,"90230","русский","male",NA,"min30","EBZ200",200,11
"159","91.214.143.3",6,"agreement.csv","lopuhinpredicttest",5,"90230","русский","male",NA,"min30","ZON201",201,11
"160","46.242.8.189",7,"agreement.csv","lopuhinpredicttest",6,"13510","русский","female",NA,"min10","ERA202",202,11
"161","212.34.48.119",5,"agreement.csv","lopuhinpredicttest",4,"10293","Русский","female",NA,"min100500","CPR203",203,10
"162","95.84.246.86",6,"agreement.csv","lopuhinpredicttest",10,"","Русский","male",NA,"min90","UWP204",204,16
"163","109.252.49.123",5,"agreement.csv","lopuhinpredicttest",5,"12345","русский","female",NA,"min30","HXZ205",205,11
"164","188.123.231.17",3,"agreement.csv","lopuhinpredicttest",11,"1515А","русский","female",NA,"min10","PGP207",207,17
"165","213.87.163.153",7,"agreement.csv","lopuhinpredicttest",5,"24MKS","Русский","male",NA,"min10","EQK208",208,12
"166","213.87.163.153",7,"agreement.csv","lopuhinpredicttest",5,"24MKS","Русский","male",NA,"min10","QKY210",210,12
